Year_Range,Migration_val,Total,Total_Imm,State_Native,Total_Pop,state,Country_Origin
1946-1955,8,1022,45293,183429,228722,Northern Territory,Ireland
1956-1965,12,1022,45293,183429,228722,Northern Territory,Ireland
1966-1975,69,1022,45293,183429,228722,Northern Territory,Ireland
1976-1985,32,1022,45293,183429,228722,Northern Territory,Ireland
1986-1995,54,1022,45293,183429,228722,Northern Territory,Ireland
1996-2005,62,1022,45293,183429,228722,Northern Territory,Ireland
2006-2015,5599,37931,1675076,4246361,5921437,Victoria,Eastern Europe
1900-1945,280,37931,1675076,4246361,5921437,Victoria,Eastern Europe
1946-1955,5027,37931,1675076,4246361,5921437,Victoria,Eastern Europe
1956-1965,4226,37931,1675076,4246361,5921437,Victoria,Eastern Europe
1966-1975,2480,37931,1675076,4246361,5921437,Victoria,Eastern Europe
1976-1985,6354,37931,1675076,4246361,5921437,Victoria,Eastern Europe
1986-1995,8183,37931,1675076,4246361,5921437,Victoria,Eastern Europe
1996-2005,4380,37931,1675076,4246361,5921437,Victoria,Eastern Europe
2006-2015,6921,22499,383274,1292558,1675832,South Australia,Mainland South-East Asia
1900-1945,3,22499,383274,1292558,1675832,South Australia,Mainland South-East Asia
1946-1955,10,22499,383274,1292558,1675832,South Australia,Mainland South-East Asia
1956-1965,32,22499,383274,1292558,1675832,South Australia,Mainland South-East Asia
1966-1975,231,22499,383274,1292558,1675832,South Australia,Mainland South-East Asia
1976-1985,5969,22499,383274,1292558,1675832,South Australia,Mainland South-East Asia
1986-1995,5259,22499,383274,1292558,1675832,South Australia,Mainland South-East Asia
1996-2005,2593,22499,383274,1292558,1675832,South Australia,Mainland South-East Asia
2006-2015,39,61,45293,183429,228722,Northern Territory,Central America
1900-1945,0,61,45293,183429,228722,Northern Territory,Central America
1946-1955,0,61,45293,183429,228722,Northern Territory,Central America
1956-1965,0,61,45293,183429,228722,Northern Territory,Central America
1966-1975,3,61,45293,183429,228722,Northern Territory,Central America
1976-1985,0,61,45293,183429,228722,Northern Territory,Central America
1986-1995,8,61,45293,183429,228722,Northern Territory,Central America
1996-2005,10,61,45293,183429,228722,Northern Territory,Central America
2006-2015,12,46,383274,1292558,1675832,South Australia,Micronesia
1900-1945,0,46,383274,1292558,1675832,South Australia,Micronesia
1946-1955,7,46,383274,1292558,1675832,South Australia,Micronesia
1956-1965,5,46,383274,1292558,1675832,South Australia,Micronesia
1966-1975,4,46,383274,1292558,1675832,South Australia,Micronesia
1976-1985,3,46,383274,1292558,1675832,South Australia,Micronesia
1986-1995,11,46,383274,1292558,1675832,South Australia,Micronesia
1996-2005,10,46,383274,1292558,1675832,South Australia,Micronesia
2006-2015,172096,518462,6148891,17238226,23387117,Total,New Zealand
1900-1945,1065,518462,6148891,17238226,23387117,Total,New Zealand
1946-1955,2223,518462,6148891,17238226,23387117,Total,New Zealand
1956-1965,8187,518462,6148891,17238226,23387117,Total,New Zealand
1966-1975,32712,518462,6148891,17238226,23387117,Total,New Zealand
1976-1985,75875,518462,6148891,17238226,23387117,Total,New Zealand
1986-1995,84919,518462,6148891,17238226,23387117,Total,New Zealand
1996-2005,114064,518462,6148891,17238226,23387117,Total,New Zealand
2006-2015,320952,648159,6148891,17238226,23387117,Total,Chinese Asia (includes Mongolia)
1900-1945,581,648159,6148891,17238226,23387117,Total,Chinese Asia (includes Mongolia)
1946-1955,2040,648159,6148891,17238226,23387117,Total,Chinese Asia (includes Mongolia)
1956-1965,5481,648159,6148891,17238226,23387117,Total,Chinese Asia (includes Mongolia)
1966-1975,7532,648159,6148891,17238226,23387117,Total,Chinese Asia (includes Mongolia)
1976-1985,24225,648159,6148891,17238226,23387117,Total,Chinese Asia (includes Mongolia)
1986-1995,98459,648159,6148891,17238226,23387117,Total,Chinese Asia (includes Mongolia)
1996-2005,127793,648159,6148891,17238226,23387117,Total,Chinese Asia (includes Mongolia)
2006-2015,43083,87751,796296,1676721,2473017,Western Australia,Maritime South-East Asia
1900-1945,140,87751,796296,1676721,2473017,Western Australia,Maritime South-East Asia
1946-1955,359,87751,796296,1676721,2473017,Western Australia,Maritime South-East Asia
1956-1965,879,87751,796296,1676721,2473017,Western Australia,Maritime South-East Asia
1966-1975,3509,87751,796296,1676721,2473017,Western Australia,Maritime South-East Asia
1976-1985,7171,87751,796296,1676721,2473017,Western Australia,Maritime South-East Asia
1986-1995,13183,87751,796296,1676721,2473017,Western Australia,Maritime South-East Asia
1996-2005,14367,87751,796296,1676721,2473017,Western Australia,Maritime South-East Asia
2006-2015,190,465,45293,183429,228722,Northern Territory,Eastern Europe
1900-1945,0,465,45293,183429,228722,Northern Territory,Eastern Europe
1946-1955,22,465,45293,183429,228722,Northern Territory,Eastern Europe
1956-1965,26,465,45293,183429,228722,Northern Territory,Eastern Europe
1966-1975,29,465,45293,183429,228722,Northern Territory,Eastern Europe
1976-1985,48,465,45293,183429,228722,Northern Territory,Eastern Europe
1986-1995,60,465,45293,183429,228722,Northern Territory,Eastern Europe
1996-2005,52,465,45293,183429,228722,Northern Territory,Eastern Europe
2006-2015,6436,27890,796296,1676721,2473017,Western Australia,Western Europe
1900-1945,61,27890,796296,1676721,2473017,Western Australia,Western Europe
1946-1955,6147,27890,796296,1676721,2473017,Western Australia,Western Europe
1956-1965,2592,27890,796296,1676721,2473017,Western Australia,Western Europe
1966-1975,3082,27890,796296,1676721,2473017,Western Australia,Western Europe
1976-1985,3157,27890,796296,1676721,2473017,Western Australia,Western Europe
1986-1995,2199,27890,796296,1676721,2473017,Western Australia,Western Europe
1996-2005,3039,27890,796296,1676721,2473017,Western Australia,Western Europe
2006-2015,25768,65870,2067794,5407771,7475565,New South Wales,Japan and the Koreas
1900-1945,18,65870,2067794,5407771,7475565,New South Wales,Japan and the Koreas
1946-1955,126,65870,2067794,5407771,7475565,New South Wales,Japan and the Koreas
1956-1965,175,65870,2067794,5407771,7475565,New South Wales,Japan and the Koreas
1966-1975,786,65870,2067794,5407771,7475565,New South Wales,Japan and the Koreas
1976-1985,4551,65870,2067794,5407771,7475565,New South Wales,Japan and the Koreas
1986-1995,11274,65870,2067794,5407771,7475565,New South Wales,Japan and the Koreas
1996-2005,17820,65870,2067794,5407771,7475565,New South Wales,Japan and the Koreas
2006-2015,52278,270877,2067794,5407771,7475565,New South Wales,"United Kingdom, Channel Islands and Isle of Man"
1900-1945,1615,270877,2067794,5407771,7475565,New South Wales,"United Kingdom, Channel Islands and Isle of Man"
1946-1955,18027,270877,2067794,5407771,7475565,New South Wales,"United Kingdom, Channel Islands and Isle of Man"
1956-1965,39371,270877,2067794,5407771,7475565,New South Wales,"United Kingdom, Channel Islands and Isle of Man"
1966-1975,61678,270877,2067794,5407771,7475565,New South Wales,"United Kingdom, Channel Islands and Isle of Man"
1976-1985,27853,270877,2067794,5407771,7475565,New South Wales,"United Kingdom, Channel Islands and Isle of Man"
1986-1995,24939,270877,2067794,5407771,7475565,New South Wales,"United Kingdom, Channel Islands and Isle of Man"
1996-2005,33367,270877,2067794,5407771,7475565,New South Wales,"United Kingdom, Channel Islands and Isle of Man"
2006-2015,255,606,45293,183429,228722,Northern Territory,Polynesia (excludes Hawaii)
1900-1945,0,606,45293,183429,228722,Northern Territory,Polynesia (excludes Hawaii)
1946-1955,0,606,45293,183429,228722,Northern Territory,Polynesia (excludes Hawaii)
1956-1965,8,606,45293,183429,228722,Northern Territory,Polynesia (excludes Hawaii)
1966-1975,24,606,45293,183429,228722,Northern Territory,Polynesia (excludes Hawaii)
1976-1985,61,606,45293,183429,228722,Northern Territory,Polynesia (excludes Hawaii)
1986-1995,96,606,45293,183429,228722,Northern Territory,Polynesia (excludes Hawaii)
1996-2005,113,606,45293,183429,228722,Northern Territory,Polynesia (excludes Hawaii)
2006-2015,454930,730071,6148891,17238226,23387117,Total,Southern Asia
1900-1945,285,730071,6148891,17238226,23387117,Total,Southern Asia
1946-1955,2927,730071,6148891,17238226,23387117,Total,Southern Asia
1956-1965,4261,730071,6148891,17238226,23387117,Total,Southern Asia
1966-1975,23029,730071,6148891,17238226,23387117,Total,Southern Asia
1976-1985,17076,730071,6148891,17238226,23387117,Total,Southern Asia
1986-1995,54911,730071,6148891,17238226,23387117,Total,Southern Asia
1996-2005,113848,730071,6148891,17238226,23387117,Total,Southern Asia
2006-2015,1314,2123,45293,183429,228722,Northern Territory,Chinese Asia (includes Mongolia)
1900-1945,7,2123,45293,183429,228722,Northern Territory,Chinese Asia (includes Mongolia)
1946-1955,12,2123,45293,183429,228722,Northern Territory,Chinese Asia (includes Mongolia)
1956-1965,24,2123,45293,183429,228722,Northern Territory,Chinese Asia (includes Mongolia)
1966-1975,42,2123,45293,183429,228722,Northern Territory,Chinese Asia (includes Mongolia)
1976-1985,88,2123,45293,183429,228722,Northern Territory,Chinese Asia (includes Mongolia)
1986-1995,141,2123,45293,183429,228722,Northern Territory,Chinese Asia (includes Mongolia)
1996-2005,210,2123,45293,183429,228722,Northern Territory,Chinese Asia (includes Mongolia)
2006-2015,10491,17922,104898,292235,397133,Australian Capital Territory,Southern Asia
1900-1945,10,17922,104898,292235,397133,Australian Capital Territory,Southern Asia
1946-1955,53,17922,104898,292235,397133,Australian Capital Territory,Southern Asia
1956-1965,88,17922,104898,292235,397133,Australian Capital Territory,Southern Asia
1966-1975,386,17922,104898,292235,397133,Australian Capital Territory,Southern Asia
1976-1985,496,17922,104898,292235,397133,Australian Capital Territory,Southern Asia
1986-1995,1686,17922,104898,292235,397133,Australian Capital Territory,Southern Asia
1996-2005,3617,17922,104898,292235,397133,Australian Capital Territory,Southern Asia
2006-2015,67,88,45293,183429,228722,Northern Territory,Central Asia
1900-1945,0,88,45293,183429,228722,Northern Territory,Central Asia
1946-1955,0,88,45293,183429,228722,Northern Territory,Central Asia
1956-1965,0,88,45293,183429,228722,Northern Territory,Central Asia
1966-1975,0,88,45293,183429,228722,Northern Territory,Central Asia
1976-1985,0,88,45293,183429,228722,Northern Territory,Central Asia
1986-1995,3,88,45293,183429,228722,Northern Territory,Central Asia
1996-2005,12,88,45293,183429,228722,Northern Territory,Central Asia
2006-2015,10732,27981,1013715,3687318,4701033,Queensland,Northern America
1900-1945,39,27981,1013715,3687318,4701033,Queensland,Northern America
1946-1955,284,27981,1013715,3687318,4701033,Queensland,Northern America
1956-1965,839,27981,1013715,3687318,4701033,Queensland,Northern America
1966-1975,3339,27981,1013715,3687318,4701033,Queensland,Northern America
1976-1985,2472,27981,1013715,3687318,4701033,Queensland,Northern America
1986-1995,3266,27981,1013715,3687318,4701033,Queensland,Northern America
1996-2005,5212,27981,1013715,3687318,4701033,Queensland,Northern America
2006-2015,208199,511041,6148891,17238226,23387117,Total,Maritime South-East Asia
1900-1945,590,511041,6148891,17238226,23387117,Total,Maritime South-East Asia
1946-1955,1847,511041,6148891,17238226,23387117,Total,Maritime South-East Asia
1956-1965,6066,511041,6148891,17238226,23387117,Total,Maritime South-East Asia
1966-1975,20471,511041,6148891,17238226,23387117,Total,Maritime South-East Asia
1976-1985,51959,511041,6148891,17238226,23387117,Total,Maritime South-East Asia
1986-1995,97291,511041,6148891,17238226,23387117,Total,Maritime South-East Asia
1996-2005,92021,511041,6148891,17238226,23387117,Total,Maritime South-East Asia
2006-2015,327,941,1675076,4246361,5921437,Victoria,Caribbean
1900-1945,0,941,1675076,4246361,5921437,Victoria,Caribbean
1946-1955,9,941,1675076,4246361,5921437,Victoria,Caribbean
1956-1965,32,941,1675076,4246361,5921437,Victoria,Caribbean
1966-1975,187,941,1675076,4246361,5921437,Victoria,Caribbean
1976-1985,99,941,1675076,4246361,5921437,Victoria,Caribbean
1986-1995,92,941,1675076,4246361,5921437,Victoria,Caribbean
1996-2005,139,941,1675076,4246361,5921437,Victoria,Caribbean
2006-2015,20630,290315,6148891,17238226,23387117,Total,South Eastern Europe
1900-1945,675,290315,6148891,17238226,23387117,Total,South Eastern Europe
1946-1955,15932,290315,6148891,17238226,23387117,Total,South Eastern Europe
1956-1965,60892,290315,6148891,17238226,23387117,Total,South Eastern Europe
1966-1975,90029,290315,6148891,17238226,23387117,Total,South Eastern Europe
1976-1985,20504,290315,6148891,17238226,23387117,Total,South Eastern Europe
1986-1995,34195,290315,6148891,17238226,23387117,Total,South Eastern Europe
1996-2005,36773,290315,6148891,17238226,23387117,Total,South Eastern Europe
2006-2015,40754,238092,6148891,17238226,23387117,Total,Western Europe
1900-1945,940,238092,6148891,17238226,23387117,Total,Western Europe
1946-1955,55407,238092,6148891,17238226,23387117,Total,Western Europe
1956-1965,43969,238092,6148891,17238226,23387117,Total,Western Europe
1966-1975,27440,238092,6148891,17238226,23387117,Total,Western Europe
1976-1985,20649,238092,6148891,17238226,23387117,Total,Western Europe
1986-1995,14738,238092,6148891,17238226,23387117,Total,Western Europe
1996-2005,22344,238092,6148891,17238226,23387117,Total,Western Europe
2006-2015,25,57,61071,448728,509799,Tasmania,Caribbean
1900-1945,0,57,61071,448728,509799,Tasmania,Caribbean
1946-1955,0,57,61071,448728,509799,Tasmania,Caribbean
1956-1965,5,57,61071,448728,509799,Tasmania,Caribbean
1966-1975,12,57,61071,448728,509799,Tasmania,Caribbean
1976-1985,9,57,61071,448728,509799,Tasmania,Caribbean
1986-1995,5,57,61071,448728,509799,Tasmania,Caribbean
1996-2005,0,57,61071,448728,509799,Tasmania,Caribbean
2006-2015,1545,3181,104898,292235,397133,Australian Capital Territory,Middle East
1900-1945,4,3181,104898,292235,397133,Australian Capital Territory,Middle East
1946-1955,26,3181,104898,292235,397133,Australian Capital Territory,Middle East
1956-1965,35,3181,104898,292235,397133,Australian Capital Territory,Middle East
1966-1975,163,3181,104898,292235,397133,Australian Capital Territory,Middle East
1976-1985,213,3181,104898,292235,397133,Australian Capital Territory,Middle East
1986-1995,412,3181,104898,292235,397133,Australian Capital Territory,Middle East
1996-2005,550,3181,104898,292235,397133,Australian Capital Territory,Middle East
2006-2015,6565,28043,2067794,5407771,7475565,New South Wales,North Africa
1900-1945,28,28043,2067794,5407771,7475565,New South Wales,North Africa
1946-1955,1265,28043,2067794,5407771,7475565,New South Wales,North Africa
1956-1965,2424,28043,2067794,5407771,7475565,New South Wales,North Africa
1966-1975,4363,28043,2067794,5407771,7475565,New South Wales,North Africa
1976-1985,1467,28043,2067794,5407771,7475565,New South Wales,North Africa
1986-1995,4757,28043,2067794,5407771,7475565,New South Wales,North Africa
1996-2005,5909,28043,2067794,5407771,7475565,New South Wales,North Africa
2006-2015,512,882,45293,183429,228722,Northern Territory,Japan and the Koreas
1900-1945,0,882,45293,183429,228722,Northern Territory,Japan and the Koreas
1946-1955,0,882,45293,183429,228722,Northern Territory,Japan and the Koreas
1956-1965,4,882,45293,183429,228722,Northern Territory,Japan and the Koreas
1966-1975,8,882,45293,183429,228722,Northern Territory,Japan and the Koreas
1976-1985,23,882,45293,183429,228722,Northern Territory,Japan and the Koreas
1986-1995,51,882,45293,183429,228722,Northern Territory,Japan and the Koreas
1996-2005,121,882,45293,183429,228722,Northern Territory,Japan and the Koreas
2006-2015,344,478,45293,183429,228722,Northern Territory,Central and West Africa
1900-1945,0,478,45293,183429,228722,Northern Territory,Central and West Africa
1946-1955,0,478,45293,183429,228722,Northern Territory,Central and West Africa
1956-1965,0,478,45293,183429,228722,Northern Territory,Central and West Africa
1966-1975,3,478,45293,183429,228722,Northern Territory,Central and West Africa
1976-1985,3,478,45293,183429,228722,Northern Territory,Central and West Africa
1986-1995,4,478,45293,183429,228722,Northern Territory,Central and West Africa
1996-2005,52,478,45293,183429,228722,Northern Territory,Central and West Africa
2006-2015,28868,117138,2067794,5407771,7475565,New South Wales,New Zealand
1900-1945,472,117138,2067794,5407771,7475565,New South Wales,New Zealand
1946-1955,837,117138,2067794,5407771,7475565,New South Wales,New Zealand
1956-1965,3022,117138,2067794,5407771,7475565,New South Wales,New Zealand
1966-1975,9944,117138,2067794,5407771,7475565,New South Wales,New Zealand
1976-1985,19825,117138,2067794,5407771,7475565,New South Wales,New Zealand
1986-1995,20102,117138,2067794,5407771,7475565,New South Wales,New Zealand
1996-2005,27364,117138,2067794,5407771,7475565,New South Wales,New Zealand
2006-2015,5582,97567,2067794,5407771,7475565,New South Wales,South Eastern Europe
1900-1945,204,97567,2067794,5407771,7475565,New South Wales,South Eastern Europe
1946-1955,4970,97567,2067794,5407771,7475565,New South Wales,South Eastern Europe
1956-1965,20630,97567,2067794,5407771,7475565,New South Wales,South Eastern Europe
1966-1975,32910,97567,2067794,5407771,7475565,New South Wales,South Eastern Europe
1976-1985,6930,97567,2067794,5407771,7475565,New South Wales,South Eastern Europe
1986-1995,11330,97567,2067794,5407771,7475565,New South Wales,South Eastern Europe
1996-2005,11178,97567,2067794,5407771,7475565,New South Wales,South Eastern Europe
2006-2015,75,356,61071,448728,509799,Tasmania,Polynesia (excludes Hawaii)
1900-1945,0,356,61071,448728,509799,Tasmania,Polynesia (excludes Hawaii)
1946-1955,0,356,61071,448728,509799,Tasmania,Polynesia (excludes Hawaii)
1956-1965,23,356,61071,448728,509799,Tasmania,Polynesia (excludes Hawaii)
1966-1975,30,356,61071,448728,509799,Tasmania,Polynesia (excludes Hawaii)
1976-1985,54,356,61071,448728,509799,Tasmania,Polynesia (excludes Hawaii)
1986-1995,75,356,61071,448728,509799,Tasmania,Polynesia (excludes Hawaii)
1996-2005,73,356,61071,448728,509799,Tasmania,Polynesia (excludes Hawaii)
2006-2015,309,844,104898,292235,397133,Australian Capital Territory,Ireland
1900-1945,0,844,104898,292235,397133,Australian Capital Territory,Ireland
1946-1955,26,844,104898,292235,397133,Australian Capital Territory,Ireland
1956-1965,56,844,104898,292235,397133,Australian Capital Territory,Ireland
1966-1975,122,844,104898,292235,397133,Australian Capital Territory,Ireland
1976-1985,79,844,104898,292235,397133,Australian Capital Territory,Ireland
1986-1995,140,844,104898,292235,397133,Australian Capital Territory,Ireland
1996-2005,79,844,104898,292235,397133,Australian Capital Territory,Ireland
2006-2015,1572,5724,1675076,4246361,5921437,Victoria,Northern Europe
1900-1945,6,5724,1675076,4246361,5921437,Victoria,Northern Europe
1946-1955,161,5724,1675076,4246361,5921437,Victoria,Northern Europe
1956-1965,724,5724,1675076,4246361,5921437,Victoria,Northern Europe
1966-1975,858,5724,1675076,4246361,5921437,Victoria,Northern Europe
1976-1985,471,5724,1675076,4246361,5921437,Victoria,Northern Europe
1986-1995,613,5724,1675076,4246361,5921437,Victoria,Northern Europe
1996-2005,916,5724,1675076,4246361,5921437,Victoria,Northern Europe
2006-2015,1535,8271,1013715,3687318,4701033,Queensland,Northern Europe
1900-1945,15,8271,1013715,3687318,4701033,Queensland,Northern Europe
1946-1955,162,8271,1013715,3687318,4701033,Queensland,Northern Europe
1956-1965,1191,8271,1013715,3687318,4701033,Queensland,Northern Europe
1966-1975,2039,8271,1013715,3687318,4701033,Queensland,Northern Europe
1976-1985,948,8271,1013715,3687318,4701033,Queensland,Northern Europe
1986-1995,904,8271,1013715,3687318,4701033,Queensland,Northern Europe
1996-2005,897,8271,1013715,3687318,4701033,Queensland,Northern Europe
2006-2015,820,1572,45293,183429,228722,Northern Territory,Northern America
1900-1945,0,1572,45293,183429,228722,Northern Territory,Northern America
1946-1955,5,1572,45293,183429,228722,Northern Territory,Northern America
1956-1965,24,1572,45293,183429,228722,Northern Territory,Northern America
1966-1975,133,1572,45293,183429,228722,Northern Territory,Northern America
1976-1985,108,1572,45293,183429,228722,Northern Territory,Northern America
1986-1995,106,1572,45293,183429,228722,Northern Territory,Northern America
1996-2005,207,1572,45293,183429,228722,Northern Territory,Northern America
2006-2015,41630,123552,1675076,4246361,5921437,Victoria,Mainland South-East Asia
1900-1945,15,123552,1675076,4246361,5921437,Victoria,Mainland South-East Asia
1946-1955,67,123552,1675076,4246361,5921437,Victoria,Mainland South-East Asia
1956-1965,118,123552,1675076,4246361,5921437,Victoria,Mainland South-East Asia
1966-1975,958,123552,1675076,4246361,5921437,Victoria,Mainland South-East Asia
1976-1985,27254,123552,1675076,4246361,5921437,Victoria,Mainland South-East Asia
1986-1995,29272,123552,1675076,4246361,5921437,Victoria,Mainland South-East Asia
1996-2005,16180,123552,1675076,4246361,5921437,Victoria,Mainland South-East Asia
2006-2015,216094,1087758,6148891,17238226,23387117,Total,"United Kingdom, Channel Islands and Isle of Man"
1900-1945,4645,1087758,6148891,17238226,23387117,Total,"United Kingdom, Channel Islands and Isle of Man"
1946-1955,65250,1087758,6148891,17238226,23387117,Total,"United Kingdom, Channel Islands and Isle of Man"
1956-1965,155219,1087758,6148891,17238226,23387117,Total,"United Kingdom, Channel Islands and Isle of Man"
1966-1975,264447,1087758,6148891,17238226,23387117,Total,"United Kingdom, Channel Islands and Isle of Man"
1976-1985,112998,1087758,6148891,17238226,23387117,Total,"United Kingdom, Channel Islands and Isle of Man"
1986-1995,102566,1087758,6148891,17238226,23387117,Total,"United Kingdom, Channel Islands and Isle of Man"
1996-2005,124216,1087758,6148891,17238226,23387117,Total,"United Kingdom, Channel Islands and Isle of Man"
2006-2015,28848,62515,1013715,3687318,4701033,Queensland,Southern and East Africa
1900-1945,22,62515,1013715,3687318,4701033,Queensland,Southern and East Africa
1946-1955,129,62515,1013715,3687318,4701033,Queensland,Southern and East Africa
1956-1965,1095,62515,1013715,3687318,4701033,Queensland,Southern and East Africa
1966-1975,2476,62515,1013715,3687318,4701033,Queensland,Southern and East Africa
1976-1985,4528,62515,1013715,3687318,4701033,Queensland,Southern and East Africa
1986-1995,4796,62515,1013715,3687318,4701033,Queensland,Southern and East Africa
1996-2005,18293,62515,1013715,3687318,4701033,Queensland,Southern and East Africa
2006-2015,8088,123717,1675076,4246361,5921437,Victoria,South Eastern Europe
1900-1945,189,123717,1675076,4246361,5921437,Victoria,South Eastern Europe
1946-1955,6055,123717,1675076,4246361,5921437,Victoria,South Eastern Europe
1956-1965,27468,123717,1675076,4246361,5921437,Victoria,South Eastern Europe
1966-1975,42095,123717,1675076,4246361,5921437,Victoria,South Eastern Europe
1976-1985,8976,123717,1675076,4246361,5921437,Victoria,South Eastern Europe
1986-1995,13287,123717,1675076,4246361,5921437,Victoria,South Eastern Europe
1996-2005,13109,123717,1675076,4246361,5921437,Victoria,South Eastern Europe
2006-2015,67076,201202,1013715,3687318,4701033,Queensland,New Zealand
1900-1945,209,201202,1013715,3687318,4701033,Queensland,New Zealand
1946-1955,524,201202,1013715,3687318,4701033,Queensland,New Zealand
1956-1965,2278,201202,1013715,3687318,4701033,Queensland,New Zealand
1966-1975,10676,201202,1013715,3687318,4701033,Queensland,New Zealand
1976-1985,29473,201202,1013715,3687318,4701033,Queensland,New Zealand
1986-1995,34425,201202,1013715,3687318,4701033,Queensland,New Zealand
1996-2005,46867,201202,1013715,3687318,4701033,Queensland,New Zealand
2006-2015,65076,141270,6148891,17238226,23387117,Total,Japan and the Koreas
1900-1945,39,141270,6148891,17238226,23387117,Total,Japan and the Koreas
1946-1955,396,141270,6148891,17238226,23387117,Total,Japan and the Koreas
1956-1965,402,141270,6148891,17238226,23387117,Total,Japan and the Koreas
1966-1975,1433,141270,6148891,17238226,23387117,Total,Japan and the Koreas
1976-1985,6601,141270,6148891,17238226,23387117,Total,Japan and the Koreas
1986-1995,17847,141270,6148891,17238226,23387117,Total,Japan and the Koreas
1996-2005,35308,141270,6148891,17238226,23387117,Total,Japan and the Koreas
2006-2015,12334,25106,383274,1292558,1675832,South Australia,Maritime South-East Asia
1900-1945,32,25106,383274,1292558,1675832,South Australia,Maritime South-East Asia
1946-1955,92,25106,383274,1292558,1675832,South Australia,Maritime South-East Asia
1956-1965,345,25106,383274,1292558,1675832,South Australia,Maritime South-East Asia
1966-1975,985,25106,383274,1292558,1675832,South Australia,Maritime South-East Asia
1976-1985,2203,25106,383274,1292558,1675832,South Australia,Maritime South-East Asia
1986-1995,3592,25106,383274,1292558,1675832,South Australia,Maritime South-East Asia
1996-2005,3688,25106,383274,1292558,1675832,South Australia,Maritime South-East Asia
2006-2015,7857,47072,1013715,3687318,4701033,Queensland,Western Europe
1900-1945,66,47072,1013715,3687318,4701033,Queensland,Western Europe
1946-1955,8995,47072,1013715,3687318,4701033,Queensland,Western Europe
1956-1965,7694,47072,1013715,3687318,4701033,Queensland,Western Europe
1966-1975,6009,47072,1013715,3687318,4701033,Queensland,Western Europe
1976-1985,5346,47072,1013715,3687318,4701033,Queensland,Western Europe
1986-1995,3590,47072,1013715,3687318,4701033,Queensland,Western Europe
1996-2005,5143,47072,1013715,3687318,4701033,Queensland,Western Europe
2006-2015,1609,4635,45293,183429,228722,Northern Territory,New Zealand
1900-1945,5,4635,45293,183429,228722,Northern Territory,New Zealand
1946-1955,11,4635,45293,183429,228722,Northern Territory,New Zealand
1956-1965,65,4635,45293,183429,228722,Northern Territory,New Zealand
1966-1975,403,4635,45293,183429,228722,Northern Territory,New Zealand
1976-1985,832,4635,45293,183429,228722,Northern Territory,New Zealand
1986-1995,693,4635,45293,183429,228722,Northern Territory,New Zealand
1996-2005,730,4635,45293,183429,228722,Northern Territory,New Zealand
2006-2015,51227,162531,2067794,5407771,7475565,New South Wales,Middle East
1900-1945,111,162531,2067794,5407771,7475565,New South Wales,Middle East
1946-1955,1056,162531,2067794,5407771,7475565,New South Wales,Middle East
1956-1965,3385,162531,2067794,5407771,7475565,New South Wales,Middle East
1966-1975,21633,162531,2067794,5407771,7475565,New South Wales,Middle East
1976-1985,17704,162531,2067794,5407771,7475565,New South Wales,Middle East
1986-1995,27003,162531,2067794,5407771,7475565,New South Wales,Middle East
1996-2005,30857,162531,2067794,5407771,7475565,New South Wales,Middle East
2006-2015,1802,20476,383274,1292558,1675832,South Australia,Western Europe
1900-1945,46,20476,383274,1292558,1675832,South Australia,Western Europe
1946-1955,6326,20476,383274,1292558,1675832,South Australia,Western Europe
1956-1965,5634,20476,383274,1292558,1675832,South Australia,Western Europe
1966-1975,2577,20476,383274,1292558,1675832,South Australia,Western Europe
1976-1985,1364,20476,383274,1292558,1675832,South Australia,Western Europe
1986-1995,797,20476,383274,1292558,1675832,South Australia,Western Europe
1996-2005,1147,20476,383274,1292558,1675832,South Australia,Western Europe
2006-2015,19639,30032,383274,1292558,1675832,South Australia,Chinese Asia (includes Mongolia)
1900-1945,20,30032,383274,1292558,1675832,South Australia,Chinese Asia (includes Mongolia)
1946-1955,46,30032,383274,1292558,1675832,South Australia,Chinese Asia (includes Mongolia)
1956-1965,313,30032,383274,1292558,1675832,South Australia,Chinese Asia (includes Mongolia)
1966-1975,243,30032,383274,1292558,1675832,South Australia,Chinese Asia (includes Mongolia)
1976-1985,737,30032,383274,1292558,1675832,South Australia,Chinese Asia (includes Mongolia)
1986-1995,1818,30032,383274,1292558,1675832,South Australia,Chinese Asia (includes Mongolia)
1996-2005,3820,30032,383274,1292558,1675832,South Australia,Chinese Asia (includes Mongolia)
2006-2015,1936,2908,383274,1292558,1675832,South Australia,Central and West Africa
1900-1945,0,2908,383274,1292558,1675832,South Australia,Central and West Africa
1946-1955,0,2908,383274,1292558,1675832,South Australia,Central and West Africa
1956-1965,23,2908,383274,1292558,1675832,South Australia,Central and West Africa
1966-1975,40,2908,383274,1292558,1675832,South Australia,Central and West Africa
1976-1985,27,2908,383274,1292558,1675832,South Australia,Central and West Africa
1986-1995,36,2908,383274,1292558,1675832,South Australia,Central and West Africa
1996-2005,611,2908,383274,1292558,1675832,South Australia,Central and West Africa
2006-2015,11447,51855,2067794,5407771,7475565,New South Wales,Polynesia (excludes Hawaii)
1900-1945,83,51855,2067794,5407771,7475565,New South Wales,Polynesia (excludes Hawaii)
1946-1955,144,51855,2067794,5407771,7475565,New South Wales,Polynesia (excludes Hawaii)
1956-1965,485,51855,2067794,5407771,7475565,New South Wales,Polynesia (excludes Hawaii)
